pair_key,friendship,friendship_strength,lost_con,lockdown
1 24,0.84,0.6900000000000001,FALSE,FALSE
1 24,1.3599999999999999,0.73,FALSE,FALSE
1 24,1.7200000000000002,1.13,FALSE,FALSE
1 24,0.72,1.16,FALSE,FALSE
1 24,0.84,1.16,FALSE,FALSE
1 24,0.36,0.91,TRUE,FALSE
1 24,1.08,0.75,FALSE,FALSE
1 24,4.24,1.6300000000000001,FALSE,FALSE
1 24,2.04,1.9300000000000002,FALSE,FALSE
1 24,0.96,2.08,TRUE,FALSE
1 24,0.36,1.9000000000000001,TRUE,FALSE
1 24,2.68,1.51,FALSE,FALSE
1 24,4.32,2.08,FALSE,FALSE
1 24,0.12,1.87,TRUE,FALSE
1 24,0.24,1.84,TRUE,FALSE
1 24,0.48,1.29,TRUE,FALSE
1 24,0.72,0.39,FALSE,TRUE
1 24,0.96,0.6,FALSE,TRUE
1 24,0.48,0.6599999999999999,FALSE,TRUE
1 24,0.48,0.6599999999999999,FALSE,TRUE
1 24,0.24,0.54,TRUE,TRUE
1 24,0.12,0.32999999999999996,TRUE,TRUE
1 24,0.24,0.27,FALSE,TRUE
1 24,1.44,0.51,FALSE,TRUE
1 24,0.72,0.63,FALSE,TRUE
1 24,0.12,0.63,TRUE,TRUE
1 24,0.24,0.63,TRUE,TRUE
1 24,1.7999999999999998,0.72,FALSE,TRUE
1 24,0.24,0.6,TRUE,FALSE
1 24,0.24,0.6299999999999999,TRUE,TRUE
1 24,0.32,0.6499999999999999,TRUE,TRUE
1 24,0.24,0.26,FALSE,TRUE
1 25,0.24,NA,NA,FALSE
1 25,0.12,NA,NA,FALSE
1 25,0.24,NA,NA,FALSE
1 25,0.12,0.18,FALSE,FALSE
1 25,0.6,0.27,FALSE,FALSE
1 25,0.12,0.27,TRUE,FALSE
1 25,1.12,0.49,FALSE,FALSE
